DATAFLOW,LAST UPDATE,freq,unit,geo,TIME_PERIOD,OBS_VALUE,OBS_FLAG
ESTAT:SDG_07_20(1.0),21/05/24 11:00:00,A,KGOE,AL,2000,123,
ESTAT:SDG_07_20(1.0),21/05/24 11:00:00,A,KGOE,AL,2001,122,
ESTAT:SDG_07_20(1.0),21/05/24 11:00:00,A,KGOE,AL,2002,199,
ESTAT:SDG_07_20(1.0),21/05/24 11:00:00,A,KGOE,AL,2003,125,
ESTAT:SDG_07_20(1.0),21/05/24 11:00:00,A,KGOE,AL,2004,181,
ESTAT:SDG_07_20(1.0),21/05/24 11:00:00,A,KGOE,AL,2005,172,
ESTAT:SDG_07_20(1.0),21/05/24 11:00:00,A,KGOE,AL,2006,151,
ESTAT:SDG_07_20(1.0),21/05/24 11:00:00,A,KGOE,AL,2007,142,
ESTAT:SDG_07_20(1.0),21/05/24 11:00:00,A,KGOE,AL,2008,151,
ESTAT:SDG_07_20(1.0),21/05/24 11:00:00,A,KGOE,AL,2009,166,
ESTAT:SDG_07_20(1.0),21/05/24 11:00:00,A,KGOE,AL,2010,168,
ESTAT:SDG_07_20(1.0),21/05/24 11:00:00,A,KGOE,AL,2011,172,
ESTAT:SDG_07_20(1.0),21/05/24 11:00:00,A,KGOE,AL,2012,176,
ESTAT:SDG_07_20(1.0),21/05/24 11:00:00,A,KGOE,AL,2013,200,
ESTAT:SDG_07_20(1.0),21/05/24 11:00:00,A,KGOE,AL,2014,193,
ESTAT:SDG_07_20(1.0),21/05/24 11:00:00,A,KGOE,AL,2015,185,
ESTAT:SDG_07_20(1.0),21/05/24 11:00:00,A,KGOE,AL,2016,173,
ESTAT:SDG_07_20(1.0),21/05/24 11:00:00,A,KGOE,AL,2017,171,
ESTAT:SDG_07_20(1.0),21/05/24 11:00:00,A,KGOE,AL,2018,178,
ESTAT:SDG_07_20(1.0),21/05/24 11:00:00,A,KGOE,AL,2019,177,
ESTAT:SDG_07_20(1.0),21/05/24 11:00:00,A,KGOE,AL,2020,190,
ESTAT:SDG_07_20(1.0),21/05/24 11:00:00,A,KGOE,AL,2021,195,
ESTAT:SDG_07_20(1.0),21/05/24 11:00:00,A,KGOE,AL,2022,189,
ESTAT:SDG_07_20(1.0),21/05/24 11:00:00,A,KGOE,AT,2000,792,
ESTAT:SDG_07_20(1.0),21/05/24 11:00:00,A,KGOE,AT,2001,832,
ESTAT:SDG_07_20(1.0),21/05/24 11:00:00,A,KGOE,AT,2002,796,
ESTAT:SDG_07_20(1.0),21/05/24 11:00:00,A,KGOE,AT,2003,808,
ESTAT:SDG_07_20(1.0),21/05/24 11:00:00,A,KGOE,AT,2004,787,
ESTAT:SDG_07_20(1.0),21/05/24 11:00:00,A,KGOE,AT,2005,800,
ESTAT:SDG_07_20(1.0),21/05/24 11:00:00,A,KGOE,AT,2006,788,
ESTAT:SDG_07_20(1.0),21/05/24 11:00:00,A,KGOE,AT,2007,755,
ESTAT:SDG_07_20(1.0),21/05/24 11:00:00,A,KGOE,AT,2008,768,
ESTAT:SDG_07_20(1.0),21/05/24 11:00:00,A,KGOE,AT,2009,777,
ESTAT:SDG_07_20(1.0),21/05/24 11:00:00,A,KGOE,AT,2010,844,
ESTAT:SDG_07_20(1.0),21/05/24 11:00:00,A,KGOE,AT,2011,781,
ESTAT:SDG_07_20(1.0),21/05/24 11:00:00,A,KGOE,AT,2012,792,
ESTAT:SDG_07_20(1.0),21/05/24 11:00:00,A,KGOE,AT,2013,815,
ESTAT:SDG_07_20(1.0),21/05/24 11:00:00,A,KGOE,AT,2014,730,
ESTAT:SDG_07_20(1.0),21/05/24 11:00:00,A,KGOE,AT,2015,767,
ESTAT:SDG_07_20(1.0),21/05/24 11:00:00,A,KGOE,AT,2016,792,
ESTAT:SDG_07_20(1.0),21/05/24 11:00:00,A,KGOE,AT,2017,791,
ESTAT:SDG_07_20(1.0),21/05/24 11:00:00,A,KGOE,AT,2018,739,
ESTAT:SDG_07_20(1.0),21/05/24 11:00:00,A,KGOE,AT,2019,753,
ESTAT:SDG_07_20(1.0),21/05/24 11:00:00,A,KGOE,AT,2020,781,
ESTAT:SDG_07_20(1.0),21/05/24 11:00:00,A,KGOE,AT,2021,871,
ESTAT:SDG_07_20(1.0),21/05/24 11:00:00,A,KGOE,AT,2022,735,
ESTAT:SDG_07_20(1.0),21/05/24 11:00:00,A,KGOE,BA,2014,256,
ESTAT:SDG_07_20(1.0),21/05/24 11:00:00,A,KGOE,BA,2015,303,
ESTAT:SDG_07_20(1.0),21/05/24 11:00:00,A,KGOE,BA,2016,324,
ESTAT:SDG_07_20(1.0),21/05/24 11:00:00,A,KGOE,BA,2017,298,
ESTAT:SDG_07_20(1.0),21/05/24 11:00:00,A,KGOE,BA,2018,492,p
ESTAT:SDG_07_20(1.0),21/05/24 11:00:00,A,KGOE,BE,2000,926,
ESTAT:SDG_07_20(1.0),21/05/24 11:00:00,A,KGOE,BE,2001,962,
ESTAT:SDG_07_20(1.0),21/05/24 11:00:00,A,KGOE,BE,2002,904,
ESTAT:SDG_07_20(1.0),21/05/24 11:00:00,A,KGOE,BE,2003,951,
ESTAT:SDG_07_20(1.0),21/05/24 11:00:00,A,KGOE,BE,2004,882,
ESTAT:SDG_07_20(1.0),21/05/24 11:00:00,A,KGOE,BE,2005,873,
ESTAT:SDG_07_20(1.0),21/05/24 11:00:00,A,KGOE,BE,2006,827,
ESTAT:SDG_07_20(1.0),21/05/24 11:00:00,A,KGOE,BE,2007,760,
ESTAT:SDG_07_20(1.0),21/05/24 11:00:00,A,KGOE,BE,2008,853,
ESTAT:SDG_07_20(1.0),21/05/24 11:00:00,A,KGOE,BE,2009,803,
ESTAT:SDG_07_20(1.0),21/05/24 11:00:00,A,KGOE,BE,2010,883,
ESTAT:SDG_07_20(1.0),21/05/24 11:00:00,A,KGOE,BE,2011,727,b
